cancer_type,total_files,data_types_count,data_types
TCGA-SARC,1769,5,"mutations, protein, methylation, copy_number, expression"
TCGA-COAD,2320,5,"mutations, protein, methylation, copy_number, expression"
TCGA-ACC,549,5,"mutations, protein, methylation, copy_number, expression"
TCGA-PRAD,2352,5,"mutations, protein, methylation, copy_number, expression"
TCGA-TGCT,1142,5,"mutations, protein, methylation, copy_number, expression"
TCGA-MESO,562,5,"mutations, protein, methylation, copy_number, expression"
TCGA-THCA,2379,5,"mutations, protein, methylation, copy_number, expression"
TCGA-STAD,2209,5,"mutations, protein, methylation, copy_number, expression"
TCGA-THYM,820,5,"mutations, protein, methylation, copy_number, expression"
TCGA-LAML,1089,4,"mutations, methylation, copy_number, expression"
TCGA-CHOL,304,5,"mutations, protein, methylation, copy_number, expression"
TCGA-UCEC,3833,5,"mutations, protein, methylation, copy_number, expression"
unknown,704,6,"unknown, mutations, methylation, expression, copy_number"
TCGA-LIHC,1910,5,"mutations, protein, methylation, copy_number, expression"
TCGA-GBM,3100,5,"mutations, protein, methylation, copy_number, expression"
TCGA-KICH,552,5,"mutations, protein, methylation, copy_number, expression"
TCGA-OV,3530,5,"mutations, protein, methylation, copy_number, expression"
TCGA-CESC,1986,5,"mutations, protein, methylation, copy_number, expression"
TCGA-BRCA,2500,5,"mutations, protein, methylation, copy_number, expression"
TCGA-KIRP,2011,5,"mutations, protein, methylation, copy_number, expression"
TCGA-LUAD,2365,5,"mutations, protein, methylation, copy_number, expression"
TCGA-LUSC,2328,5,"mutations, protein, methylation, copy_number, expression"
TCGA-LGG,2435,5,"mutations, protein, methylation, copy_number, expression"
TCGA-PAAD,1260,5,"mutations, protein, methylation, copy_number, expression"
TCGA-BLCA,3276,5,"mutations, protein, methylation, copy_number, expression"
TCGA-SKCM,3051,5,"mutations, protein, methylation, copy_number, expression"
TCGA-UCS,379,5,"mutations, protein, methylation, copy_number, expression"
TCGA-PCPG,1167,5,"mutations, protein, methylation, copy_number, expression"
TCGA-READ,1135,5,"mutations, protein, methylation, copy_number, expression"
TCGA-UVM,528,5,"mutations, protein, methylation, copy_number, expression"
TCGA-KIRC,3993,5,"mutations, protein, methylation, copy_number, expression"
TCGA-HNSC,2354,5,"mutations, protein, methylation, copy_number, expression"
TCGA-DLBC,322,5,"mutations, protein, methylation, copy_number, expression"
TCGA-ESCA,1185,5,"mutations, protein, methylation, copy_number, expression"
