sample_id,methyl_n_probes,methyl_global_methylation_mean,methyl_global_methylation_std,methyl_global_methylation_median,methyl_hypermethylated_probes,methyl_hypomethylated_probes,methyl_intermediate_methylated_probes,methyl_hypermethylation_ratio,methyl_hypomethylation_ratio,methyl_intermediate_ratio,methyl_methylation_variance,methyl_methylation_range,methyl_methylation_iqr,methyl_extreme_hypermethylation,methyl_extreme_hypomethylation,methyl_estimated_coverage,methyl_data_quality_score,methyl_cancer_likelihood,cna_total_alterations,cna_amplification_burden,cna_deletion_burden,cna_neutral_regions,cna_chromosomal_instability_index,cna_genomic_complexity_score,cna_heterogeneity_index,fragment_fragment_length_mean,fragment_fragment_length_std,fragment_fragment_length_median,fragment_short_fragment_ratio,fragment_long_fragment_ratio,fragment_mononucleosome_ratio,fragment_dinucleosome_ratio,fragment_nucleosome_signal,fragment_nucleosome_periodicity,fragment_fragment_jaggedness,fragment_fragment_complexity,fragment_end_motif_diversity,fragment_gc_content_fragments,chromatin_accessibility_score,chromatin_chromatin_openness,chromatin_regulatory_burden,chromatin_peak_count,chromatin_signal_noise_ratio,chromatin_coverage_breadth,methyl_fragment_interaction,fragment_cna_interaction,chromatin_cna_interaction,label,data_sources,argo_total_mutations,argo_missense_mutations,argo_nonsense_mutations,argo_silent_mutations,argo_indel_mutations,argo_mutation_burden_per_mb,argo_nonsynonymous_mutation_rate,argo_synonymous_mutation_rate,argo_tp53_pathway_score,argo_pi3k_pathway_score,argo_rb_pathway_score,argo_cell_cycle_pathway_score,argo_dna_repair_pathway_score,argo_sv_translocations,argo_sv_inversions,argo_sv_deletions,argo_sv_insertions,argo_sv_complex_rearrangements,argo_microsatellite_instability,argo_chromosomal_instability,argo_homologous_recombination_deficiency,argo_mutation_expression_correlation,argo_mutation_methylation_correlation,argo_mutation_copy_number_correlation,argo_prognostic_mutation_score,argo_therapeutic_target_score,argo_drug_resistance_score,argo_smoking_signature,argo_uv_signature,argo_aging_signature,argo_dna_repair_signature,argo_structural_variation_burden,argo_pathway_alteration_score,cancer_type
complete_integrated_001,8469.0,0.5031641712363284,0.3641182372818873,0.567515279388675,3570.0,3262.0,1637.0,0.4215373715905065,0.385169441492502,0.1932931869169913,0.1325820907212687,0.981886541567295,0.7828109300956727,1628.0,2272.0,8469.0,1.0,1.2408210153448194,7860.0,1140.0,4366.0,2354.0,13.168898051921447,103507.53868810258,173.41987590190047,169.53069506791604,59.48316890766342,154.87325138223233,0.3772700605218731,0.2478872750229858,0.6413286465803011,0.0712790256201081,0.6459289442876012,9.25981220273838,0.3626831867326193,1.2807566399237846,6.096156097565419,0.5479382139319199,0.4303282496359218,0.4829556386248157,15.0,31921.0,1.1473448879972743,0.952923056517442,85.30177168296669,8.506172416108669,44542.21794777365,1.0,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",106.0,52.0,7.0,30.0,13.0,6.245631721582997,0.0055191757341094,0.089285712049299,0.4082405194365809,0.5888247931796388,0.5585849898496617,0.293759808374377,0.2057568413071819,7.0,1.0,5.0,2.0,1.0,0.1038553172771262,0.4009425738119335,0.2200839389979024,0.4374988081888807,-0.1772731272992304,0.1907645455054934,0.137204328849209,0.1740234937292401,0.1327560541218281,0.1365010566520522,0.0937774640868412,0.117905870154343,0.3391993205588901,16.0,0.3973162676756759,BRCA
complete_integrated_002,8905.0,0.2493327555374672,0.3157892080316651,0.0541689516993327,1365.0,6147.0,1393.0,0.1532846715328467,0.6902863559797866,0.1564289724873666,0.0997228239092662,0.9876009939846508,0.4332859410421008,554.0,5099.0,8905.0,1.0,0.6057378147934923,384.0,81.0,126.0,177.0,0.907538064562129,348.49461679185754,0.8236253386291751,159.14969151738663,47.931444964240946,176.91480096366783,0.3239431575121237,0.2401300790648627,0.6417523589590501,0.1298906156362423,0.8433587824738366,10.6129185582329,0.4233710126048331,1.1605482593248264,6.474931512055218,0.459250855977471,0.7997244612593613,0.632195821581503,15.0,32179.0,0.1929921365154707,0.8376366489599438,39.68123112896788,0.7653801971777793,278.69966966565585,1.0,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",92.0,55.0,8.0,20.0,5.0,7.151963765384321,0.2059691049227926,0.0606647953141269,0.1152278933556503,0.1344611592406518,0.0905477123812828,0.404978886855746,0.1597589180829863,5.0,2.0,9.0,1.0,2.0,0.1015399438858027,0.4316482060448953,0.358363252719514,-0.0097439734275751,0.1009532628440645,0.2618218405229056,0.0438309969982473,0.2889668865069579,0.3114035258349655,0.2980609256662748,0.002457861927441,0.7490587025679312,0.1020795418315144,19.0,0.1703443194443977,BRCA
complete_integrated_003,8624.0,0.5267292271983287,0.3781735414023648,0.6302956357028084,4038.0,3285.0,1301.0,0.4682282003710575,0.3809137291280148,0.1508580705009276,0.1430152274168061,0.9836304033056196,0.8195735953910182,2275.0,2341.0,8624.0,1.0,1.3655020829925335,350.0,51.0,101.0,198.0,0.8704224705802084,304.6478647030729,0.7576352772909538,159.45764022624107,52.56447444847564,165.2088156578179,0.3030196674397938,0.1273181597328473,0.6702040788278915,0.11238974202498,0.805347866921144,10.357884109109698,0.3498753919500195,0.9595383181203871,6.199954315608946,0.5176203377660215,4.507321922556993,0.5218582543508989,24.0,32139.0,0.4278550419977372,0.938817055617678,83.99099960723709,0.7009928800020031,1373.1459992363373,1.0,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",110.0,58.0,7.0,30.0,10.0,4.119437474429144,0.138535397279876,0.1261979946634933,0.184012414987366,0.0580408075077293,0.2644221978204804,0.0726741648558218,0.4489962514615934,7.0,1.0,1.0,0.0,2.0,0.0585175877306742,0.5821489585184071,0.2962090115642568,0.1973548861262577,0.0534603353688561,0.3245083182860959,0.248688912965978,0.0933899341380182,0.0894038786028723,0.0601641706696251,0.1365198939177472,0.7873828358383381,0.0432716425629488,11.0,0.1756960838958253,BRCA
complete_integrated_004,8683.0,0.4998058335211986,0.3443372780053314,0.548404874365049,3223.0,3014.0,2446.0,0.3711850742830819,0.3471150524012438,0.2816998733156743,0.1185681610241208,0.985296478932732,0.733609719197766,1453.0,2121.0,8683.0,1.0,1.0980746316385264,200.0,52.0,66.0,82.0,1.6635164004501382,332.70328009002765,2.7672868145665843,162.8941035883094,65.51896188938774,171.30028601921904,0.3823706392524474,0.2161259396544605,0.6476331853105843,0.0847414386047278,0.7707448121745814,9.457879369100992,0.2712213237847735,1.1307894276100368,8.396627898768998,0.4101089344941819,1.332026857637838,0.7117016732709699,14.0,31942.0,0.5485013765015169,0.7454466402805486,81.41542321964346,1.2821466356142774,443.169704704121,1.0,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",104.0,62.0,9.0,16.0,13.0,7.369449833606822,0.1149068505468631,0.0241643205636895,0.3065652544329805,0.0674794058594246,0.3403405023132728,0.2940824932701449,0.0804172851684318,7.0,0.0,6.0,3.0,2.0,0.1064313681256388,0.3380924069405752,0.3802208587073501,-0.4270053245890838,0.239470197024997,0.3808708676817848,0.3754670361519956,0.1550704708834958,0.0362199589906484,0.1400571681497752,0.0013488808173789,0.4421366266264069,0.225329908777563,18.0,0.2124158358642888,BRCA
complete_integrated_005,8668.0,0.5327794434462577,0.3631520392213919,0.6141569206915385,3875.0,2930.0,1863.0,0.4470466082141209,0.3380249192431933,0.2149284725426857,0.1318794035906553,0.9830276660916256,0.7969320004532714,2035.0,2193.0,8668.0,1.0,1.2897314272002078,344.0,41.0,119.0,184.0,0.953800712568346,328.10744512351107,0.9097357992958848,163.60979560458944,39.15442614650932,167.4420427919298,0.2944362954053361,0.1578585911113947,0.5275162511115354,0.16608432562123,0.6601236997765547,10.97081123844888,0.39304306256572,1.2906096666551832,6.297772660907867,0.380143348696875,2.234832844938082,0.4538416777423809,17.0,31634.0,0.5989269474858955,0.8787548306202968,87.16793584456914,0.6296264552301308,733.2652950307419,1.0,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",93.0,55.0,7.0,18.0,12.0,3.4040736575513897,0.2677646839809699,0.0835609672991112,0.4353854987403788,0.1463948856230647,0.1867594797957833,0.2183100684344454,0.1648581573808881,7.0,2.0,9.0,2.0,0.0,0.1984816117438048,0.3727666429737831,0.6288795133630913,0.7311294549700156,-0.20832585172564,0.0545236538849358,0.1653203288829088,0.3279916770068238,0.1597475183567575,0.1511246657249556,0.1367068408836685,0.3768182460201165,0.2101734795281131,20.0,0.2193510741695195,BRCA
extended_sample_001,8946.817411898584,0.4868179799635062,0.3816245414503487,0.5404804588772786,3852.005130562664,3464.922577001467,1442.1982065105394,0.4194858786438952,0.375411011250704,0.202600623038168,0.130891907462225,0.9814512733438698,0.8049074313156831,1553.6829575665304,2423.2319200283914,8824.333199954504,0.9424465160490784,1.3635403762193712,8178.233494002588,1157.1478046971831,4322.027018181945,2476.6467976753675,12.561975376168194,114068.60368041709,172.24300185103183,155.9312903995245,59.90331519127568,153.3539614011317,0.3426708518478119,0.2622236738885989,0.6463038262836195,0.0731138053745985,0.6398960282987568,9.650417587774754,0.3493098585523276,1.3467794562650774,6.43410590115855,0.5964387503311379,0.3857913431349505,0.4726427716931073,15.464823224885206,30699.433418014767,1.2596434496835325,0.9577907141501376,87.93624832734378,8.399509754262366,45268.9993403324,1.0658914856997863,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",116.47356151946948,52.17885174481756,6.93895294001097,30.64775861857435,12.208257750485844,6.616581379675532,0.0050636193575834,0.0891604470582417,0.4129839898061292,0.6070378724375897,0.5641623951676751,0.2950284643349392,0.2073199531027808,7.0927002025895725,0.9515715547867428,5.002793077072701,2.098121294636802,0.9870223650399887,0.1092730643596739,0.3861957064187601,0.2419714135360634,0.4365840100321366,-0.1560686985892854,0.1954791301141556,0.1359295590659184,0.1788177245376939,0.1255826389420472,0.1207503510712939,0.0951483374998218,0.1177885199504712,0.3428349161474812,16.907611597208497,0.3707915896239687,HNSC
extended_sample_002,9097.11346998764,0.4826792242462402,0.3612584378095401,0.5555984237541945,3069.1129042609077,3074.9711749493244,2433.712401571807,0.3331705805227095,0.3506521249561685,0.2924502903453282,0.1192755785838629,1.030526637356491,0.7564704617163693,1461.2632509505122,2064.819328311457,8995.70230001881,1.0545850482490793,1.0347297670034703,197.6057142907202,48.599560101237195,65.85032904218266,78.5532951262092,1.673549163031281,317.27641804806416,2.889791272813368,185.66785236648553,63.868786844700445,181.86183300577977,0.3591831956741668,0.2323986571751705,0.65362544689011,0.0875678823877504,0.8080803055357316,9.56527508380464,0.2607094586823251,1.1372599573836588,9.52443058961445,0.4000083335930535,1.3591059790249689,0.7320605341562302,13.484130212883874,30776.917490111387,0.5402522738098274,0.7873591990541977,81.2120040426642,1.3726991884416708,451.4874772188106,0.9137157824127564,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",109.9998128596566,61.77799643629665,9.25568955170121,17.465366531448847,13.316792675285251,6.844304236116246,0.1148739128502539,0.025288388544761,0.3088855403664722,0.0688101474035756,0.3533628654019443,0.2893724809824297,0.0811497202544297,7.256216180482541,0.0,5.6795360760559594,3.450480008799791,2.1839396657163745,0.1024638925406116,0.3408636811613718,0.3934396923493269,-0.402477895522527,0.2663065100705386,0.3815750543165369,0.3805512882963857,0.1583672561086164,0.034777859275641,0.1412922816171988,0.0013624391021282,0.4189056725150277,0.20452865978485,19.536166477635117,0.20945413979696,HNSC
extended_sample_003,8055.66558924355,0.4959433641007103,0.3836393451551527,0.5594857939565229,3573.064677156411,3132.228757092503,1601.338857593248,0.4194070613937333,0.3970309572194885,0.1785354026235244,0.1337372103567329,1.0063296780845528,0.7254559677256307,1672.8444185419432,2093.693678329919,8243.742294138221,0.9379212491804388,1.2868459128502727,7208.772509062555,1142.9801520243311,4703.522221800086,2176.3627399207194,13.81403682001907,106870.59828218764,169.85565676777102,162.3265206807439,60.31168546281535,170.34814518784594,0.3893441799665303,0.2768621481630176,0.625508793425922,0.0708016728693034,0.6633423968238605,9.052041849222222,0.3402577323276978,1.2375633685800207,6.2026427237277275,0.5131974556968922,0.3779165799193424,0.4915539238813677,15.802897360516226,33340.301340274826,1.3332392617545743,1.0150745752249897,87.78044932881636,8.334884724159064,42317.40846097259,0.949773335020602,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",110.0520180109247,51.0330922779449,7.001146892411756,31.21171859094291,13.137888359020875,6.163080818389289,0.0051331944673618,0.0831776637914125,0.3945815865573644,0.6065199449651034,0.59718234882063,0.2873534642639355,0.2053173033009949,7.496006742555402,1.0065242199647058,5.182371797038249,1.9178596774889676,1.0203268277590676,0.1006020070686791,0.3785784473434764,0.2204831471608572,0.4366192409788555,-0.1832217377201454,0.1898799912481382,0.1523267639078212,0.1869166617403235,0.1384588003814739,0.1410369232251508,0.0880146647008401,0.1190627669463626,0.328984091772796,15.82421901976256,0.3968660973396437,LUAD
extended_sample_004,8563.785342522437,0.5686091250051543,0.3592917299707037,0.6777650842003742,3828.158181575784,3406.2500979751185,1279.6815404095646,0.4737621270993716,0.3888539406506862,0.1591562553875059,0.1527472695328306,0.9795217929987308,0.8295394824980478,2383.022113810053,2353.884303786506,9307.227460244356,0.8930580922987098,1.3867164819252704,348.6789826691628,50.79063706625903,106.02235906355511,202.7784845129326,0.9879231567818344,298.1542566630717,0.8173355655676943,154.69687328138602,49.73565877413258,152.89507720662434,0.2890022017253992,0.1350073796402836,0.6956634956622093,0.1110941825463446,0.7763418474048618,10.392646899829863,0.3488021811996473,1.0150017024598768,5.205323740656929,0.5360930213436393,4.31875207890591,0.4991141968347773,25.46770753297858,32576.79228468513,0.4039248291220494,0.9947414009599324,82.59198830059192,0.6760225827827532,1403.042966903431,0.9945206336124376,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",113.93495439795528,54.46164922089503,6.313397605375503,29.155133905141476,10.200256338518772,3.7557795652023502,0.1412067433388547,0.1159906182849253,0.1711194023115732,0.059365665431394,0.2503391687524854,0.0752035502533184,0.4552547350028413,7.001780228219885,0.968509570989728,0.927470711122618,0.0,2.0306167460912277,0.0610770536784943,0.5307262165825982,0.3098728033633967,0.1841808798540127,0.0537239056496898,0.3297214120355774,0.2550440256826041,0.0937506438532792,0.0844643365121987,0.0625036931090983,0.1348441514090714,0.7776269233657629,0.046839519253811,10.048834602392049,0.176912082581593,STAD
extended_sample_005,8028.175377553746,0.5070149072779115,0.3220371774184614,0.4941756371310171,3387.7218935601213,3220.9345684597606,1707.0210324141135,0.4176474210307516,0.3549084065623352,0.2042991808095858,0.1384460674869001,1.0643439593069266,0.8225275591292195,1516.9337893974307,2357.551556485426,8441.117746501348,1.0501389264571594,1.270257285259887,7864.775707924334,1223.8370385281378,4283.667911545162,2487.022478169078,13.48553680813584,98774.39670126786,186.63875809473456,177.05151091702567,59.006634010188385,153.23249493651008,0.4097153998772041,0.2464879009600823,0.6643999755031026,0.0735055670593301,0.6572432999757442,8.915411219206412,0.334424668446187,1.3968032907063093,5.9768140761105055,0.5168699857291806,0.4482825428272921,0.5025831488357905,15.8405486044217,28672.2831428576,1.1127164253316304,0.9340689065977672,81.58070228904614,8.102848576623403,47906.2264213951,0.9403972560227492,"methyl:TCGA, cna:TCGA, fragment:GEO, chromatin:ENCODE, argo:ICGC_ARGO",98.94177586494672,51.18302727998312,7.2792980669219185,28.664901039945033,13.147406757669923,6.698692367393295,0.0055552514981302,0.0886090895990788,0.4387328875419334,0.5153559878091204,0.5604465270506828,0.2932726943556789,0.2133983666266575,6.572713870137107,0.9786132751869856,4.388902177365384,2.1988899188972617,1.0333055154228068,0.0972799674786308,0.3760160848821772,0.2036759381156859,0.48919364639798,-0.1820615596128705,0.2000048865797213,0.1445380660047679,0.1833187223322408,0.1295477742246129,0.1482505592777749,0.0975419819919019,0.1220552908446601,0.3054695662134182,16.44687518370129,0.4358383900153628,BRCA
